iter	Passed	Remaining
0	3	299
1	5	293
2	8	286
3	11	274
4	14	275
5	17	275
6	20	271
7	23	267
8	26	265
9	32	290
10	40	330
11	43	322
12	46	314
13	50	311
14	53	303
15	56	297
16	60	294
17	63	288
18	66	285
19	69	279
20	73	274
21	76	269
22	81	272
23	84	268
24	92	278
25	95	272
26	108	293
27	112	288
28	115	282
29	118	276
30	121	271
31	126	267
32	130	264
33	134	261
34	138	257
35	141	250
36	144	245
37	147	239
38	149	233
39	152	228
40	155	223
41	156	215
42	159	211
43	162	207
44	166	202
45	168	198
46	172	194
47	175	190
48	177	185
49	180	180
50	183	176
51	185	171
52	187	166
53	190	161
54	191	156
55	193	152
56	195	147
57	198	143
58	201	140
59	204	136
60	206	132
61	209	128
62	212	124
63	214	120
64	217	117
65	220	113
66	223	110
67	226	106
68	229	103
69	232	99
70	235	96
71	238	92
72	240	89
73	243	85
74	246	82
75	249	78
76	254	75
77	258	72
78	260	69
79	263	65
80	265	62
81	268	58
82	270	55
83	272	51
84	275	48
85	278	45
86	280	41
87	282	38
88	286	35
89	290	32
90	295	29
91	298	25
92	300	22
93	302	19
94	304	16
95	306	12
96	308	9
97	310	6
98	312	3
99	314	0
