iter	Passed	Remaining
0	342	342525
1	354	176646
2	360	119861
3	372	92775
4	385	76768
5	392	65064
6	398	56534
7	402	49852
8	405	44597
9	407	40346
10	410	36900
11	412	33969
12	414	31466
13	416	29318
14	418	27457
15	419	25825
16	421	24390
17	424	23138
18	425	21994
19	427	20964
20	429	20027
21	431	19173
22	433	18400
23	434	17682
24	436	17038
25	439	16456
26	441	15894
27	442	15366
28	444	14879
29	446	14426
30	447	13997
31	449	13595
32	451	13226
33	453	12898
34	455	12564
35	457	12250
36	459	11950
37	460	11669
38	462	11404
39	464	11146
40	466	10905
41	468	10683
42	470	10477
43	472	10267
44	474	10062
45	475	9871
46	477	9684
47	479	9505
48	481	9336
49	483	9192
50	485	9042
51	487	8895
52	490	8763
53	492	8627
54	494	8495
55	496	8367
56	498	8249
57	500	8133
58	502	8015
59	504	7901
60	506	7793
61	507	7684
62	509	7579
63	511	7479
64	514	7394
65	516	7303
66	517	7212
67	519	7127
68	522	7043
69	523	6957
70	525	6874
71	527	6802
72	530	6730
73	531	6655
74	533	6581
75	535	6508
76	536	6435
77	538	6364
78	540	6296
79	542	6237
80	544	6181
81	546	6119
82	547	6050
83	549	5996
84	551	5937
85	553	5879
86	554	5822
87	556	5767
88	558	5718
89	561	5672
90	562	5623
91	564	5572
92	566	5522
93	567	5473
94	569	5425
95	571	5379
96	573	5341
97	576	5301
98	578	5261
99	579	5219
100	581	5178
101	583	5139
102	585	5100
103	587	5065
104	590	5033
105	592	4996
106	594	4958
107	595	4920
108	597	4882
109	598	4846
110	600	4809
111	602	4777
112	605	4751
113	607	4719
114	608	4686
115	610	4653
116	611	4617
117	613	4585
118	615	4554
119	616	4523
120	619	4502
121	621	4471
122	623	4443
123	624	4414
124	626	4385
125	628	4356
126	629	4327
127	631	4299
128	634	4282
129	636	4258
130	638	4232
131	639	4206
132	641	4180
133	642	4154
134	644	4129
135	646	4105
136	648	4085
137	651	4067
138	653	4045
139	654	4021
140	656	3998
141	657	3972
142	659	3949
143	660	3926
144	662	3906
145	665	3895
146	667	3875
147	669	3855
148	671	3836
149	673	3816
150	675	3800
151	678	3784
152	681	3771
153	683	3756
154	686	3740
155	688	3722
156	690	3707
157	692	3690
158	696	3683
159	698	3665
160	699	3647
161	701	3629
162	703	3610
163	704	3592
164	706	3575
165	708	3560
166	711	3548
167	713	3531
168	714	3515
169	716	3498
170	718	3482
171	719	3465
172	722	3453
173	724	3439
174	726	3426
175	728	3410
176	730	3395
177	731	3379
178	733	3364
179	735	3349
180	736	3334
181	738	3319
182	740	3307
183	743	3295
184	744	3281
185	746	3266
186	748	3252
187	749	3238
188	752	3227
189	755	3219
190	758	3212
191	760	3200
192	762	3188
193	764	3177
194	766	3164
195	768	3152
196	771	3143
197	772	3130
198	774	3118
199	776	3105
200	777	3092
201	779	3080
202	781	3067
203	783	3055
204	785	3047
205	788	3037
206	790	3027
207	792	3016
208	793	3004
209	796	2994
210	798	2984
211	800	2976
212	803	2970
213	805	2958
214	807	2947
215	808	2935
216	810	2924
217	812	2912
218	813	2902
219	816	2895
220	818	2885
221	820	2875
222	822	2864
223	823	2853
224	825	2842
225	826	2831
226	828	2821
227	831	2813
228	833	2805
229	835	2795
230	836	2785
231	838	2775
232	840	2765
233	841	2755
234	843	2745
235	845	2738
236	848	2730
237	849	2720
238	851	2710
239	853	2701
240	854	2691
241	856	2681
242	857	2672
243	859	2664
244	862	2656
245	863	2647
246	865	2638
247	867	2629
248	868	2620
249	870	2611
250	872	2602
251	873	2593
252	876	2588
253	879	2582
254	881	2574
255	883	2566
256	886	2561
257	888	2554
258	890	2547
259	893	2541
260	894	2533
261	896	2526
262	898	2518
263	900	2510
264	902	2503
265	904	2496
266	907	2490
267	909	2484
268	911	2477
269	913	2469
270	915	2463
271	917	2456
272	919	2449
273	922	2445
274	925	2439
275	927	2432
276	929	2425
277	932	2421
278	934	2414
279	936	2409
280	939	2404
281	941	2397
282	943	2389
283	946	2386
284	948	2378
285	950	2373
286	953	2369
287	956	2363
288	958	2357
289	960	2351
290	962	2345
291	964	2338
292	968	2337
293	970	2331
294	973	2325
295	975	2319
296	977	2313
297	980	2309
298	984	2307
299	986	2301
300	988	2295
301	990	2289
302	992	2283
303	996	2280
304	998	2275
305	1000	2270
306	1003	2264
307	1005	2258
308	1007	2252
309	1009	2247
310	1013	2245
311	1015	2239
312	1017	2234
313	1019	2228
314	1021	2221
315	1024	2217
316	1028	2215
317	1030	2210
318	1032	2204
319	1034	2198
320	1036	2192
321	1038	2187
322	1042	2185
323	1044	2180
324	1047	2174
325	1048	2168
326	1050	2162
327	1052	2155
328	1054	2150
329	1056	2145
330	1059	2140
331	1061	2135
332	1063	2129
333	1064	2123
334	1066	2117
335	1068	2111
336	1070	2106
337	1073	2102
338	1075	2097
339	1077	2092
340	1079	2086
341	1081	2080
342	1083	2074
343	1085	2070
344	1087	2065
345	1089	2059
346	1091	2053
347	1092	2047
348	1094	2041
349	1095	2035
350	1097	2029
351	1099	2024
352	1101	2019
353	1103	2014
354	1105	2008
355	1107	2002
356	1108	1996
357	1110	1991
358	1112	1985
359	1113	1980
360	1116	1975
361	1118	1971
362	1120	1965
363	1121	1960
364	1123	1954
365	1125	1949
366	1127	1944
367	1130	1941
368	1134	1939
369	1136	1934
370	1138	1930
371	1140	1924
372	1141	1919
